m,dm,nEvents,matchEff,filterEff,qcut,wgt,ave_filter_eff,ave_match_eff
250.0,25.0,75.0,0.361,0.1377,-1.0,3.7282274999999996,10.327499999999999,27.075
275.0,25.0,75.0,0.361,0.1714,-1.0,4.640655,12.855,27.075
300.0,25.0,75.0,0.302,0.1795,-1.0,4.065675,13.462499999999999,22.65
325.0,25.0,75.0,0.302,0.1859,-1.0,4.210635,13.9425,22.65
350.0,25.0,75.0,0.302,0.1992,-1.0,4.51188,14.94,22.65
375.0,25.0,75.0,0.302,0.207,-1.0,4.688549999999999,15.524999999999999,22.65
400.0,25.0,75.0,0.275,0.2209,-1.0,4.5560625,16.567500000000003,20.625
425.0,25.0,75.0,0.275,0.2294,-1.0,4.731375,17.205,20.625
450.0,25.0,75.0,0.275,0.233,-1.0,4.805625,17.475,20.625
475.0,25.0,75.0,0.275,0.2444,-1.0,5.04075,18.330000000000002,20.625
500.0,25.0,75.0,0.254,0.2449,-1.0,4.665345,18.3675,19.05
525.0,25.0,75.0,0.254,0.2587,-1.0,4.928235,19.4025,19.05
550.0,25.0,75.0,0.254,0.2451,-1.0,4.669155000000001,18.3825,19.05
575.0,25.0,75.0,0.254,0.2813,-1.0,5.358765,21.0975,19.05
600.0,25.0,75.0,0.237,0.286,-1.0,5.08365,21.45,17.775
625.0,25.0,75.0,0.237,0.2855,-1.0,5.074762499999999,21.412499999999998,17.775
650.0,25.0,75.0,0.237,0.2818,-1.0,5.008995,21.134999999999998,17.775
675.0,25.0,75.0,0.237,0.2745,-1.0,4.8792375,20.587500000000002,17.775
700.0,25.0,75.0,0.237,0.2945,-1.0,5.2347375,22.0875,17.775
725.0,25.0,75.0,0.237,0.3053,-1.0,5.4267075,22.8975,17.775
750.0,25.0,75.0,0.237,0.3265,-1.0,5.8035375,24.4875,17.775
775.0,25.0,75.0,0.237,0.3055,-1.0,5.4302624999999995,22.912499999999998,17.775
800.0,25.0,75.0,0.237,0.3242,-1.0,5.762655,24.314999999999998,17.775
825.0,25.0,75.0,0.237,0.3148,-1.0,5.59557,23.610000000000003,17.775
850.0,25.0,75.0,0.237,0.3277,-1.0,5.824867499999999,24.5775,17.775
875.0,25.0,75.0,0.237,0.3481,-1.0,6.1874775,26.1075,17.775
900.0,25.0,75.0,0.237,0.3277,-1.0,5.824867499999999,24.5775,17.775
925.0,25.0,75.0,0.237,0.3239,-1.0,5.7573225,24.2925,17.775
950.0,25.0,75.0,0.237,0.3373,-1.0,5.9955074999999995,25.2975,17.775
975.0,25.0,75.0,0.237,0.3426,-1.0,6.089715,25.695,17.775
1000.0,25.0,75.0,0.237,0.3402,-1.0,6.047054999999999,25.515,17.775
1025.0,25.0,75.0,0.237,0.3408,-1.0,6.05772,25.56,17.775
1050.0,25.0,75.0,0.237,0.3447,-1.0,6.1270425,25.8525,17.775
1075.0,25.0,75.0,0.237,0.3378,-1.0,6.004395,25.335,17.775
1100.0,25.0,75.0,0.237,0.3306,-1.0,5.876415,24.795,17.775
250.0,10.0,250.0,0.361,0.1422,-1.0,12.833549999999999,35.55,90.25
275.0,10.0,250.0,0.361,0.1627,-1.0,14.683675000000001,40.675000000000004,90.25
300.0,10.0,250.0,0.302,0.1684,-1.0,12.7142,42.1,75.5
325.0,10.0,250.0,0.302,0.1824,-1.0,13.7712,45.6,75.5
350.0,10.0,250.0,0.302,0.1967,-1.0,14.850850000000001,49.175000000000004,75.5
375.0,10.0,250.0,0.302,0.2137,-1.0,16.13435,53.425,75.5
400.0,10.0,250.0,0.275,0.2033,-1.0,13.976875,50.825,68.75
425.0,10.0,250.0,0.275,0.2278,-1.0,15.66125,56.95,68.75
450.0,10.0,250.0,0.275,0.2349,-1.0,16.149375,58.725,68.75
475.0,10.0,250.0,0.275,0.2214,-1.0,15.221250000000001,55.35,68.75
500.0,10.0,250.0,0.254,0.2575,-1.0,16.35125,64.375,63.5
525.0,10.0,250.0,0.254,0.2439,-1.0,15.48765,60.975,63.5
550.0,10.0,250.0,0.254,0.2627,-1.0,16.681449999999998,65.675,63.5
575.0,10.0,250.0,0.254,0.2688,-1.0,17.0688,67.2,63.5
600.0,10.0,250.0,0.237,0.2697,-1.0,15.979725,67.425,59.25
625.0,10.0,250.0,0.237,0.279,-1.0,16.53075,69.75,59.25
650.0,10.0,250.0,0.237,0.272,-1.0,16.116,68.0,59.25
675.0,10.0,250.0,0.237,0.2752,-1.0,16.3056,68.8,59.25
700.0,10.0,250.0,0.237,0.2868,-1.0,16.9929,71.7,59.25
725.0,10.0,250.0,0.237,0.2883,-1.0,17.081775,72.075,59.25
750.0,10.0,250.0,0.237,0.3026,-1.0,17.92905,75.64999999999999,59.25
775.0,10.0,250.0,0.237,0.3128,-1.0,18.5334,78.2,59.25
800.0,10.0,250.0,0.237,0.3074,-1.0,18.21345,76.85000000000001,59.25
825.0,10.0,250.0,0.237,0.3142,-1.0,18.616349999999997,78.55,59.25
850.0,10.0,250.0,0.237,0.3079,-1.0,18.243075,76.97500000000001,59.25
875.0,10.0,250.0,0.237,0.3198,-1.0,18.94815,79.94999999999999,59.25
900.0,10.0,250.0,0.237,0.3185,-1.0,18.871125,79.625,59.25
925.0,10.0,250.0,0.237,0.3331,-1.0,19.736175,83.275,59.25
950.0,10.0,250.0,0.237,0.3355,-1.0,19.878375000000002,83.875,59.25
975.0,10.0,250.0,0.237,0.3266,-1.0,19.35105,81.65,59.25
1000.0,10.0,250.0,0.237,0.3302,-1.0,19.56435,82.55,59.25
1025.0,10.0,250.0,0.237,0.3375,-1.0,19.996875000000003,84.375,59.25
1050.0,10.0,250.0,0.237,0.3463,-1.0,20.518275,86.575,59.25
1075.0,10.0,250.0,0.237,0.3249,-1.0,19.250325,81.22500000000001,59.25
1100.0,10.0,250.0,0.237,0.3346,-1.0,19.82505,83.65,59.25
250.0,20.0,75.0,0.361,0.1455,-1.0,3.9394124999999995,10.9125,27.075
275.0,20.0,75.0,0.361,0.1696,-1.0,4.59192,12.72,27.075
300.0,20.0,75.0,0.302,0.1731,-1.0,3.920715,12.9825,22.65
325.0,20.0,75.0,0.302,0.1807,-1.0,4.092855,13.5525,22.65
350.0,20.0,75.0,0.302,0.201,-1.0,4.55265,15.075000000000001,22.65
375.0,20.0,75.0,0.302,0.2061,-1.0,4.668165,15.4575,22.65
400.0,20.0,75.0,0.275,0.2081,-1.0,4.2920625,15.6075,20.625
425.0,20.0,75.0,0.275,0.2227,-1.0,4.5931875,16.7025,20.625
450.0,20.0,75.0,0.275,0.2346,-1.0,4.838625,17.595,20.625
475.0,20.0,75.0,0.275,0.2361,-1.0,4.8695625,17.7075,20.625
500.0,20.0,75.0,0.254,0.2557,-1.0,4.871085,19.1775,19.05
525.0,20.0,75.0,0.254,0.2592,-1.0,4.93776,19.439999999999998,19.05
550.0,20.0,75.0,0.254,0.2632,-1.0,5.01396,19.74,19.05
575.0,20.0,75.0,0.254,0.2591,-1.0,4.935855,19.4325,19.05
600.0,20.0,75.0,0.237,0.2714,-1.0,4.824134999999999,20.354999999999997,17.775
625.0,20.0,75.0,0.237,0.2757,-1.0,4.900567499999999,20.6775,17.775
650.0,20.0,75.0,0.237,0.2946,-1.0,5.236514999999999,22.095,17.775
675.0,20.0,75.0,0.237,0.28,-1.0,4.977,21.000000000000004,17.775
700.0,20.0,75.0,0.237,0.2909,-1.0,5.170747499999999,21.8175,17.775
725.0,20.0,75.0,0.237,0.3048,-1.0,5.41782,22.86,17.775
750.0,20.0,75.0,0.237,0.2749,-1.0,4.886347499999999,20.6175,17.775
775.0,20.0,75.0,0.237,0.2951,-1.0,5.245402499999999,22.132499999999997,17.775
800.0,20.0,75.0,0.237,0.3,-1.0,5.3325,22.5,17.775
825.0,20.0,75.0,0.237,0.299,-1.0,5.314724999999999,22.425,17.775
850.0,20.0,75.0,0.237,0.3255,-1.0,5.7857625,24.4125,17.775
875.0,20.0,75.0,0.237,0.3097,-1.0,5.5049174999999995,23.2275,17.775
900.0,20.0,75.0,0.237,0.3089,-1.0,5.4906975,23.1675,17.775
925.0,20.0,75.0,0.237,0.338,-1.0,6.00795,25.35,17.775
950.0,20.0,75.0,0.237,0.3294,-1.0,5.855085,24.705000000000002,17.775
975.0,20.0,75.0,0.237,0.3312,-1.0,5.887079999999999,24.84,17.775
1000.0,20.0,75.0,0.237,0.3399,-1.0,6.041722499999999,25.4925,17.775
1025.0,20.0,75.0,0.237,0.3349,-1.0,5.952847499999999,25.1175,17.775
1050.0,20.0,75.0,0.237,0.3409,-1.0,6.059497499999999,25.5675,17.775
1075.0,20.0,75.0,0.237,0.348,-1.0,6.185699999999999,26.099999999999998,17.775
1100.0,20.0,75.0,0.237,0.3532,-1.0,6.27813,26.490000000000002,17.775
250.0,30.0,75.0,0.361,0.1447,-1.0,3.9177524999999997,10.8525,27.075
275.0,30.0,75.0,0.361,0.1792,-1.0,4.85184,13.44,27.075
300.0,30.0,75.0,0.302,0.1761,-1.0,3.9886649999999997,13.207500000000001,22.65
325.0,30.0,75.0,0.302,0.1866,-1.0,4.226489999999999,13.995,22.65
350.0,30.0,75.0,0.302,0.2026,-1.0,4.58889,15.195,22.65
375.0,30.0,75.0,0.302,0.2158,-1.0,4.8878699999999995,16.185,22.65
400.0,30.0,75.0,0.275,0.2133,-1.0,4.3993125,15.997499999999999,20.625
425.0,30.0,75.0,0.275,0.232,-1.0,4.785,17.400000000000002,20.625
450.0,30.0,75.0,0.275,0.2326,-1.0,4.797375,17.445,20.625
475.0,30.0,75.0,0.275,0.2436,-1.0,5.02425,18.27,20.625
500.0,30.0,75.0,0.254,0.2588,-1.0,4.93014,19.409999999999997,19.05
525.0,30.0,75.0,0.254,0.2662,-1.0,5.07111,19.965,19.05
550.0,30.0,75.0,0.254,0.2645,-1.0,5.038725,19.837500000000002,19.05
575.0,30.0,75.0,0.254,0.2886,-1.0,5.49783,21.645000000000003,19.05
600.0,30.0,75.0,0.237,0.2786,-1.0,4.952115,20.895,17.775
625.0,30.0,75.0,0.237,0.2888,-1.0,5.133419999999999,21.66,17.775
650.0,30.0,75.0,0.237,0.285,-1.0,5.065874999999999,21.374999999999996,17.775
675.0,30.0,75.0,0.237,0.2827,-1.0,5.0249925,21.2025,17.775
700.0,30.0,75.0,0.237,0.2973,-1.0,5.2845075,22.2975,17.775
725.0,30.0,75.0,0.237,0.298,-1.0,5.296949999999999,22.349999999999998,17.775
750.0,30.0,75.0,0.237,0.3141,-1.0,5.5831275,23.5575,17.775
775.0,30.0,75.0,0.237,0.3099,-1.0,5.5084725,23.2425,17.775
800.0,30.0,75.0,0.237,0.3257,-1.0,5.789317499999999,24.4275,17.775
825.0,30.0,75.0,0.237,0.306,-1.0,5.43915,22.95,17.775
850.0,30.0,75.0,0.237,0.3279,-1.0,5.8284225,24.5925,17.775
875.0,30.0,75.0,0.237,0.3335,-1.0,5.9279625,25.012500000000003,17.775
900.0,30.0,75.0,0.237,0.327,-1.0,5.812425,24.525000000000002,17.775
925.0,30.0,75.0,0.237,0.3381,-1.0,6.0097274999999994,25.3575,17.775
950.0,30.0,75.0,0.237,0.3359,-1.0,5.970622499999999,25.1925,17.775
975.0,30.0,75.0,0.237,0.3313,-1.0,5.888857499999999,24.8475,17.775
1000.0,30.0,75.0,0.237,0.329,-1.0,5.847975,24.675,17.775
1025.0,30.0,75.0,0.237,0.3415,-1.0,6.0701625,25.6125,17.775
1050.0,30.0,75.0,0.237,0.346,-1.0,6.150149999999999,25.95,17.775
1075.0,30.0,75.0,0.237,0.3349,-1.0,5.952847499999999,25.1175,17.775
1100.0,30.0,75.0,0.237,0.3555,-1.0,6.3190124999999995,26.662499999999998,17.775
250.0,15.0,75.0,0.361,0.143,-1.0,3.8717249999999996,10.725,27.075
275.0,15.0,75.0,0.361,0.1613,-1.0,4.3671975,12.0975,27.075
300.0,15.0,75.0,0.302,0.1652,-1.0,3.74178,12.39,22.65
325.0,15.0,75.0,0.302,0.1895,-1.0,4.292174999999999,14.2125,22.65
350.0,15.0,75.0,0.302,0.192,-1.0,4.3488,14.4,22.65
375.0,15.0,75.0,0.302,0.2101,-1.0,4.7587649999999995,15.7575,22.65
400.0,15.0,75.0,0.275,0.2035,-1.0,4.1971875,15.2625,20.625
425.0,15.0,75.0,0.275,0.2284,-1.0,4.71075,17.13,20.625
450.0,15.0,75.0,0.275,0.2365,-1.0,4.8778125,17.7375,20.625
475.0,15.0,75.0,0.275,0.2397,-1.0,4.9438125,17.9775,20.625
500.0,15.0,75.0,0.254,0.2516,-1.0,4.79298,18.87,19.05
525.0,15.0,75.0,0.254,0.2468,-1.0,4.70154,18.509999999999998,19.05
550.0,15.0,75.0,0.254,0.2489,-1.0,4.741545,18.6675,19.05
575.0,15.0,75.0,0.254,0.2597,-1.0,4.947285,19.4775,19.05
600.0,15.0,75.0,0.237,0.2641,-1.0,4.6943775,19.8075,17.775
625.0,15.0,75.0,0.237,0.2785,-1.0,4.9503375,20.887500000000003,17.775
650.0,15.0,75.0,0.237,0.2839,-1.0,5.0463225,21.2925,17.775
675.0,15.0,75.0,0.237,0.2782,-1.0,4.945005,20.865000000000002,17.775
700.0,15.0,75.0,0.237,0.2942,-1.0,5.229405,22.065,17.775
725.0,15.0,75.0,0.237,0.2849,-1.0,5.064097499999999,21.3675,17.775
750.0,15.0,75.0,0.237,0.3044,-1.0,5.41071,22.830000000000002,17.775
775.0,15.0,75.0,0.237,0.306,-1.0,5.43915,22.95,17.775
800.0,15.0,75.0,0.237,0.3059,-1.0,5.4373724999999995,22.9425,17.775
825.0,15.0,75.0,0.237,0.2987,-1.0,5.3093924999999995,22.4025,17.775
850.0,15.0,75.0,0.237,0.3261,-1.0,5.796427499999999,24.4575,17.775
875.0,15.0,75.0,0.237,0.3128,-1.0,5.56002,23.46,17.775
900.0,15.0,75.0,0.237,0.3319,-1.0,5.899522499999999,24.8925,17.775
925.0,15.0,75.0,0.237,0.3333,-1.0,5.924407499999999,24.9975,17.775
950.0,15.0,75.0,0.237,0.3474,-1.0,6.175034999999999,26.055,17.775
975.0,15.0,75.0,0.237,0.3198,-1.0,5.684444999999999,23.985,17.775
1000.0,15.0,75.0,0.237,0.3276,-1.0,5.82309,24.57,17.775
1025.0,15.0,75.0,0.237,0.3385,-1.0,6.0168375,25.387500000000003,17.775
1050.0,15.0,75.0,0.237,0.354,-1.0,6.292349999999999,26.549999999999997,17.775
1075.0,15.0,75.0,0.237,0.3411,-1.0,6.0630524999999995,25.5825,17.775
1100.0,15.0,75.0,0.237,0.3423,-1.0,6.084382499999999,25.6725,17.775
